"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"867",0.32,1,6.546875,30.7309306158847
"868",0.34,0,6.05989010989011,8.35103263918267
"869",0.34,0.02,6.05989010989011,8.35103263918267
"870",0.34,0.04,6.05989010989011,8.35103263918267
"871",0.34,0.06,6.05989010989011,8.35103263918267
"872",0.34,0.08,6.05989010989011,8.35103263918267
"873",0.34,0.1,6.05989010989011,8.35103263918281
"874",0.34,0.12,6.05989010989011,8.35103263918267
"875",0.34,0.14,6.05989010989011,8.35103263918267
"876",0.34,0.16,6.06434344827586,9.14724821065201
"877",0.34,0.18,6.0761924137931,10.9885648254486
"878",0.34,0.2,6.08804137931034,12.5300450648828
"879",0.34,0.22,6.09989034482759,13.855800477861
"880",0.34,0.24,6.11173931034483,15.0188645878082
"881",0.34,0.26,6.12358827586207,16.0548378943769
"882",0.34,0.28,6.13543724137931,16.9887795582911
"883",0.34,0.3,6.14728620689655,17.8389977870186
"884",0.34,0.32,6.15913517241379,18.6192762123234
"885",0.34,0.34,6.17098413793103,19.3402519804097
"886",0.34,0.36,6.18283310344828,20.0103060936924
"887",0.34,0.38,6.19468206896552,20.6361595342001
"888",0.34,0.4,6.20653103448276,21.223284641619
"889",0.34,0.42,6.21838,21.7761964597647
"890",0.34,0.44,6.23022896551724,22.298663771405
"891",0.34,0.46,6.24207793103448,22.793865005161
"892",0.34,0.48,6.25392689655172,23.2645054408697
"893",0.34,0.5,6.26577586206897,23.7129066986452
"894",0.34,0.52,6.27762482758621,24.1410760228283
"895",0.34,0.54,6.28947379310345,24.5507605994745
"896",0.34,0.56,6.30132275862069,24.943490626841
"897",0.34,0.58,6.31317172413793,25.3206138226665
"898",0.34,0.6,6.32502068965517,25.6833233333806
"899",0.34,0.62,6.33686965517241,26.0326805035685
"900",0.34,0.64,6.34871862068966,26.3696336012963
"901",0.34,0.66,6.3605675862069,26.6950333317579
"902",0.34,0.68,6.37241655172414,27.0096457783995
"903",0.34,0.7,6.38426551724138,27.3141632670349
"904",0.34,0.72,6.39611448275862,27.6092135405633
"905",0.34,0.74,6.40796344827586,27.8953675500525
"906",0.34,0.76,6.4198124137931,28.173146105271
